資訊金頭腦題目		
ANS	NO	題目
C	20	即將推出的行動電話行動通訊標準是下列何者？ (A) 2G (B) 3G (C) 4G (D) 5G
B	19	蘋果電腦現任執行長Tim Cook是在哪一年接手擔任該職位？ (A) 2010 (B) 2011 (C) 2012 (D) 2013
A	21	根據2013年11月20日的自由時報報導，蘋果iOS的下載總量已經突破？ (A) 500億次 (B) 550億次 (C) 600億次 (D) 650億次
C	22	國內科技大廠中，哪2間公司被稱為面板雙虎？ (A) 友達、光寶 (B) 群創、日月光 (C) 友達、群創 (D) 光寶、日月光
B	23	電腦遊戲<英雄聯盟>Season 3世界冠軍賽於2013年10月5日舉行，請問是由下列哪一隊取得世界冠軍？ (A) 中國皇族(Royal Club) (B) 南韓SKT T1 (C) 台北暗殺星(TPA) (D) Azubu Frost
D	24	下列何者不是電玩遊戲的製作公司？ (A) EA Sports (B) Blizzard Entertainment (C) 智冠科技 (D) 宏遠科技
C	25	下列哪一款電玩遊戲不是出自Blizzard Entertainment？ (A) 暗黑破壞神 (B) 魔獸世界 (C) 世紀帝國 (D) 星海爭霸
A	32	根據中國時報2013年11月19日報導，國際市調機構IDC針對日本手機市場所做的報告，第三季日本智慧型手機，哪一間市佔率最高？ (A) 蘋果 (B) 三星 (C) 宏達電 (D) Sony
A	33	根據中國時報2013年11月19日報導，Youtube亞太區營運總監表示，使用行動裝置觀看Youtube比例愈來愈高，全球目前Youtube流量，有幾成來自行動裝置？ (A) 4成 (B) 5成 (C) 6成 (D) 7成
B	57	下列何者是不同類型的硬體裝置？ (A) iPhone (B) Nexus 7 (C) HTC one (D) 小米機
C	58	下列何者是不同類型的硬體裝置？ (A) iPad (B) Nexus 7 (C) HTC one (D) Galaxy Tab
D	54	下列何者是不同類型的網站？ (A) eBay (B) 淘寶網 (C) 露天 (D) 微博
B	34	根據中國時報2013年11月19日報導，2013年Google與易普索市場調查研究公司（Ipsos MediaCT）的研究報告顯示台灣人在智慧型手機的應用程式安裝率為每人平均多少個？ (A) 20個 (B) 30個 (C) 40個 (D) 45個
D	55	下列何者是不同類型的軟體？ (A) Windows 7 (B) Unix (C) OS X (D) Android
B	56	下列何者是不同類型的電腦硬體裝置？ (A) 鍵盤 (B) 螢幕 (C) 滑鼠 (D) 繪圖板
B	59	下列何者是不同類型的軟體？ (A) PhotoImpact (B) Photobucket (C) Photocap (D) Photoshop
A	60	下列何者是不同類型的活動？ (A) TED (B) Computex (C) Comdex Fall (D) CeBIT
A	61	有資訊領域諾貝爾獎之稱的是？ (A) 度林獎 (B) 賈伯斯獎 (C) 三星獎 (D) 赫爾辛基獎
A	62	科幻小說家阿西莫夫訂定了重要的機器人行為準則，也就是著名的機器人? (A) 三大法則 (B) 五大法則 (C) 六大法則 (D) 十大法則
C	63	下列何者是IBM的超級電腦，曾經擊敗過世界西洋棋王? (A) 思考 (B) 深思 (C) 深藍 (D) 將軍
A	64	下列何者是非常受歡迎的雲端記事軟體？ (A) Evernote (B) Skydrive (C) Dropbox (D) SaveIt
C	51	下列何者是不同類型的網路應用？ (A) Plurk (B) Twitter (C) PTT (D) 微博
D	52	下列何者是不同類型的網路技術？ (A) Wifi (B) 藍芽 (C) 紅外線 (D) ADSL
C	53	下列何者是不同類型的軟體？ (A) PC Cillion (B) Kapersky (C) Evernote (D) Avira
A	65	下列何者是非常受歡迎的圖片分享社群網站？ (A) Pinterest (B) Pocket (C) Dropbox (D) Photocap
A	66	世界上最大的社群網站是？ (A) Facebook (B) Google+ (C) Yahoo (D) Twitter
A	67	世界上最大的影音分享網站是? (A) Youtube (B) Facebook (C) Google+ (D) Pixnet
A	68	世界上最大規模的百科全書是? (A) Wikipedia (B) 大英百科 (C) 永樂大典 (D) 康熙辭典
D	69	全世界最大的無廣告網站是? (A) 聯合國網站 (B) ISO (C) NGO (D) Wikipedia
D	70	美國總統歐巴馬使用的手機品牌是? (A) iPhone (B) HTC (C) Samsung (D) BlackBerry
D	71	史上第一封email的內容是? (A) Test (B) Hello (C) Hi (D) QWERTUIOP
C	72	下列何者是google現正在研發的最新技術? (A) 無人駕駛帆船 (B) 無人駕駛飛機 (C) 無人駕駛汽車 (D) 無人駕駛火車
D	73	史上第一個網路瀏覽器是? (A) IE (B) Chrome (C) Firefox (D) Mosaic
A	74	世界上佔有率最高的智慧型手機平台是? (A) Android (B) iOS (C) Windows Mobile (D) symbian
A	75	史上第一個擁有自己聲音的虛擬歌手是? (A) 初音未來 (B) 科博文 (C) 深藍 (D) Siri
B	93	下列智慧型所機不使用Android OS? (A)HTC (B)NOKIA (C) SONY (D) 小米機
B	94	下列智慧型手機OS是開放式免費作業系統? (A)Symbain (B) Android (C) iOS (D)Windows CE
C	95	下列何者不是台灣三大網路骨幹? (A)TANET (B) SEEDNET (C) JANET (D) HINET
A	96	三星手機Galaxy S4的非觸控式手勢操作又稱為? (A) 懸浮 (B) 空手 (C) 凌空 (D) 水飄手勢操作
A	97	下列何者是4k電視的定義? (A) 4096x2160畫素 (B) 4000x2000畫素 (C) 4096x2048畫素 (D) 4096x4096畫素
A	98	下列何者是FULL HD顯示器解析度的定義? (A)1920x1080 (B) 1080x1080 (C)1080P (D) 1920x720
D	99	下列何者是錯的? (A) NFC是近距離無線通信 (B) NFC非接觸式點對點資料傳輸 (C) NFC是由RFID演變而來 (D) NFC應用於目前的悠遊卡
C	35	根據中國時報2013年11月18日的報導，國內電信業龍頭表示截至2013年10月底為止，行動上網用戶達？ (A) 350萬戶 (B) 360萬戶 (C) 370萬戶 (D) 380萬戶
